ID1,Name1,ID2,Name2,Similarity
8459,Judit Samper,3965,Judit Samper,1
8527,Savannah St John,8433,Savannah St John,1
8535,Lyzette Blanco,5837,Lyzette Blanco,1
8565,Javier Lopez-Zetina,4489,Javier Lopez-Zetina,1
8582,Eun Jung Chae,4456,Eun Jung Chae,1
8586,Marcus Young-Owl,3683,Marcus Young-Owl,1
8596,Supriya Bhargave,3988,Supriya Bhargave,1
8616,Maulana Karenga,3953,Maulana Karenga,1
8619,Aleta Ostlund,7987,Aleta Ostlund,1
8666,DongQuan Ha,8933,DongQuan Ha,1
8752,Logan Esdale,5001,Logan Esdale,1
8753,Jacob Conlon,8351,Jacob Conlon,1
8766,Tianjiao Qiu,5489,Tianjiao Qiu,1
8795,Dana Doyle,6888,Dana Doyle,1
8800,Jose Rodriguez,7445,Jose Rodriguez,1
8816,Carlos Piar,8680,Carlos Piar,1
8858,Joshua Chesler,5820,Joshua Chesler,1
8929,Linda McCroskey,8930,Linda McCroskey,1
8931,Lynda L. McCroskey,8608,Lynda L. McCroskey,1
8936,Pamela Miles Homer,4259,Pamela Miles Homer,1
